alpha,n_dim,n_cal,method,noise_type,coordinate,score_type,redraw_train_test,n_train,n_test,n_trials,coordinate_length_avg,coordinate_length_1std,coordinate_length_median,contamination_fraction,contamination_multiplier
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,23.219840006600304,7.287983271476712,22.160844233821322,0.05,10.0
0.1,10,100,Empirical_copula,Gaussian,1,absolute_residual,True,7200,800,200,81.44985171859845,55.632624858844615,62.89846151836491,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,2,absolute_residual,True,7200,800,200,69.94365937184976,47.76706880692497,52.73193167151418,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,3,absolute_residual,True,7200,800,200,66.0183301332525,42.55716564521727,56.535274229517434,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,4,absolute_residual,True,7200,800,200,57.96176213986425,40.1767565452635,43.3155111459053,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,5,absolute_residual,True,7200,800,200,47.22040041084504,29.771806499877346,40.644584679347616,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,6,absolute_residual,True,7200,800,200,41.63954209434781,27.870262379243616,32.897489583826896,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,7,absolute_residual,True,7200,800,200,31.58997399290451,20.56366996301457,26.599931538306098,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,8,absolute_residual,True,7200,800,200,23.96698571423026,15.728394603270456,18.91620936975753,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,9,absolute_residual,True,7200,800,200,16.078788354575728,10.114942771971837,13.310512132480108,0.1,10.0
0.1,10,100,Empirical_copula,Gaussian,10,absolute_residual,True,7200,800,200,7.909950900693754,5.029624878830985,7.121587350241185,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,1,absolute_residual,True,7200,800,200,114.95054620832968,88.93150081909415,101.40317369559065,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,2,absolute_residual,True,7200,800,200,103.16577958567565,85.6048846428826,87.3577545992566,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,3,absolute_residual,True,7200,800,200,91.79630183714194,64.36303505240377,85.97744378820778,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,4,absolute_residual,True,7200,800,200,80.55779519993821,58.64771124501029,70.17000845170207,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,5,absolute_residual,True,7200,800,200,71.42826784657706,56.275064937111544,65.31665150525666,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,6,absolute_residual,True,7200,800,200,58.766304000489484,44.548401709435936,55.20611878721401,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,7,absolute_residual,True,7200,800,200,47.89935868048009,40.35500098031709,44.14076316460282,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,8,absolute_residual,True,7200,800,200,36.95006729844946,29.666067569287588,32.63488800538139,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,9,absolute_residual,True,7200,800,200,24.147384797877585,19.02916512712454,21.30641639957934,0.1,10.0
0.1,10,100,Point_CHR,Gaussian,10,absolute_residual,True,7200,800,200,10.970119939115998,7.621850363151944,10.850264302497319,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,1,absolute_residual,True,7200,800,200,102.24713888178783,65.82357087969831,98.53478053027811,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,2,absolute_residual,True,7200,800,200,90.1679931717867,57.351146899613674,89.33508107792491,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,3,absolute_residual,True,7200,800,200,82.21330620495428,51.40537851744743,81.89918857243117,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,4,absolute_residual,True,7200,800,200,72.88968428861402,46.32993769639504,75.83137385414199,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,5,absolute_residual,True,7200,800,200,59.45788481443457,36.80605859906116,63.6547649602321,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,6,absolute_residual,True,7200,800,200,53.13619761007137,33.10856805681096,55.61222647783195,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,7,absolute_residual,True,7200,800,200,39.91749717269681,24.747705129593857,39.22527498608754,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,8,absolute_residual,True,7200,800,200,30.606567525529396,19.284941588712996,29.950153101564837,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,9,absolute_residual,True,7200,800,200,20.63488935062229,12.63014349069773,21.39288208680398,0.1,10.0
0.1,10,100,TSCP_R,Gaussian,10,absolute_residual,True,7200,800,200,10.05441102305668,6.322843581807667,10.294207487517777,0.1,10.0
0.1,10,100,Unscaled,Gaussian,1,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,2,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,3,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,4,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,5,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,6,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,7,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,8,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,9,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
0.1,10,100,Unscaled,Gaussian,10,absolute_residual,True,7200,800,200,61.079898158486955,35.01309179488543,64.332092561259,0.1,10.0
