alpha,n_dim,n_cal,trial,method,noise_type,score_type,coordinate,coordinate_length,redraw_train_test,n_train,n_test
0.1,10,10,6,Unscaled,Gaussian,absolute_residual,10,25.68432953661416,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,1,16.346631550554747,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,2,21.37655377616609,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,3,15.902150664270753,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,4,25.684329536535554,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,5,7.429573506178162,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,6,5.609901470391095,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,7,4.8561695446026425,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,8,6.670701347586,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,9,1.5792418773223584,True,7200,800
0.1,10,10,6,Empirical_copula,Gaussian,absolute_residual,10,1.0705058741514097,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,1,32.33614005708183,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,2,38.69558678535181,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,3,38.07067039892585,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,4,24.566627425770953,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,5,22.071307579730522,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,6,10.67444069740993,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,7,14.961723799179653,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,8,10.526292452867189,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,9,8.527268736568445,True,7200,800
0.1,10,10,7,TSCP_R,Gaussian,absolute_residual,10,3.91459509403025,True,7200,800
0.1,10,10,7,Point_CHR,Gaussian,absolute_residual,1,inf,True,7200,800
0.1,10,10,7,Point_CHR,Gaussian,absolute_residual,2,inf,True,7200,800
0.1,10,10,7,Point_CHR,Gaussian,absolute_residual,3,inf,True,7200,800
0.1,10,10,7,Point_CHR,Gaussian,absolute_residual,4,inf,True,7200,800
0.1,10,10,7,Point_CHR,Gaussian,absolute_residual,5,inf,True,7200,800
0.1,10,10,7,Point_CHR,Gaussian,absolute_residual,6,inf,True,7200,800
0.1,10,10,7,Point_CHR,Gaussian,absolute_residual,7,inf,True,7200,800
