dataset,trial,n_cal,n_test,n_dim,method,covered_count,joint_coverage,residual_volume,infinite_region
stock,81,15,64,6,Empirical_copula,40,0.625,4.518845358006353e-06,0
stock,81,15,64,6,Unscaled,56,0.875,0.0007260850119805894,0
stock,81,15,64,6,Point_CHR,64,1.0,inf,1
stock,81,15,64,6,TSCP_R,61,0.953125,6.810586386793103e-05,0
stock,82,15,64,6,Empirical_copula,47,0.734375,3.5742775363885904e-06,0
stock,82,15,64,6,Unscaled,60,0.9375,0.001520712963609958,0
stock,82,15,64,6,Point_CHR,64,1.0,inf,1
stock,82,15,64,6,TSCP_R,60,0.9375,4.957458045833083e-05,0
stock,83,15,64,6,Empirical_copula,55,0.859375,3.724730188370658e-05,0
stock,83,15,64,6,Unscaled,64,1.0,0.3607117247233094,0
stock,83,15,64,6,Point_CHR,64,1.0,inf,1
stock,83,15,64,6,TSCP_R,64,1.0,0.012949569541968225,0
stock,84,15,64,6,Empirical_copula,56,0.875,1.4410285356654262e-05,0
stock,84,15,64,6,Unscaled,63,0.984375,0.043010072659799004,0
stock,84,15,64,6,Point_CHR,64,1.0,inf,1
stock,84,15,64,6,TSCP_R,64,1.0,0.00014373825273974783,0
stock,85,15,64,6,Empirical_copula,47,0.734375,5.967062061557504e-06,0
stock,85,15,64,6,Unscaled,53,0.828125,0.0006099009401595488,0
stock,85,15,64,6,Point_CHR,64,1.0,inf,1
stock,85,15,64,6,TSCP_R,63,0.984375,6.482536677869031e-05,0
stock,86,15,64,6,Empirical_copula,35,0.546875,3.262762631592558e-06,0
stock,86,15,64,6,Unscaled,55,0.859375,0.0012819730431072977,0
stock,86,15,64,6,Point_CHR,64,1.0,inf,1
stock,86,15,64,6,TSCP_R,62,0.96875,0.00016308722760050107,0
stock,87,15,64,6,Empirical_copula,46,0.71875,7.446218999332033e-06,0
stock,87,15,64,6,Unscaled,63,0.984375,0.004942524221255719,0
stock,87,15,64,6,Point_CHR,64,1.0,inf,1
stock,87,15,64,6,TSCP_R,64,1.0,0.0001444288804453857,0
stock,88,15,64,6,Empirical_copula,56,0.875,4.466339004252722e-05,0
stock,88,15,64,6,Unscaled,64,1.0,0.5268736853195174,0
stock,88,15,64,6,Point_CHR,64,1.0,inf,1
stock,88,15,64,6,TSCP_R,64,1.0,0.008928307072258836,0
stock,89,15,64,6,Empirical_copula,43,0.671875,5.2431767433108535e-06,0
stock,89,15,64,6,Unscaled,60,0.9375,0.007948040277114935,0
stock,89,15,64,6,Point_CHR,64,1.0,inf,1
stock,89,15,64,6,TSCP_R,63,0.984375,0.00014087106505428866,0
stock,90,15,64,6,Empirical_copula,38,0.59375,1.1320541702440135e-05,0
stock,90,15,64,6,Unscaled,63,0.984375,0.1056268951459631,0
stock,90,15,64,6,Point_CHR,64,1.0,inf,1
stock,90,15,64,6,TSCP_R,62,0.96875,0.00017557833036665533,0
stock,91,15,64,6,Empirical_copula,57,0.890625,4.282992589555027e-05,0
stock,91,15,64,6,Unscaled,64,1.0,0.8159630744858211,0
stock,91,15,64,6,Point_CHR,64,1.0,inf,1
stock,91,15,64,6,TSCP_R,64,1.0,0.00041779826353457474,0
